source,pt_PT
Setting Item Locations...,Configurando locais de itens...
Setting the account as a Company Account is necessary for Bank Reconciliation,Definir a conta como Conta Empresarial é necessário para a Reconciliação Bancária
Setting {0} is required,A configuração {0} é obrigatória
Settings,Configurações
Settings for Selling Module,Configurações para módulo de vendas
Setup,Configurar
Setup your organization,Configure sua organização
Share Ledger,Compartilhar livro-razão
Share Type,Tipo de compartilhamento
Shelf Life In Days,Prazo de validade em dias
Shelf Life in Days,Prazo de validade em dias
Shift,Mudança
Shift Factor,Fator de mudança
Shift Name,Nome do turno
Shift Request Approver,Aprovador de solicitação de turno
Shift Time (In Hours),Tempo de turno (em horas)
Shipment,Remessa
Shipment Amount,Valor da remessa
Shipment Delivery Note,Nota de entrega da remessa
Shipment ID,ID da remessa
Shipment Information,Informações de remessa
Shipment Parcel,Pacote de Remessa
Shipment Parcel Template,Modelo de pacote de remessa
Shipment Type,Tipo de remessa
Shipment details,Detalhes da remessa
Shipping Account,Conta de envio
Shipping Address,Endereço para envio
Shipping Address Details,Detalhes do endereço de entrega
Shipping Address Name,Nome do endereço de entrega
Shipping Address Template,Modelo de endereço de entrega
Shipping Address does not belong to the {0},O endereço de entrega não pertence a {0}
Shipping Amount,Valor do frete
Shipping City,Cidade de embarque
Shipping Country,País de envio
Shipping County,Condado de expedição
Shipping Rule Conditions,Condições das regras de envio
Shipping Rule Label,Etiqueta de regra de envio
Shipping Rule Type,Tipo de regra de envio
Shipping State,Estado de envio
Shipping Zipcode,CEP de envio
Shopping Cart,Carrinho de compras
Short Term Loan Account,Conta de empréstimo de curto prazo
Short biography for website and other publications.,Breve biografia para site e outras publicações.
Short-term Investments,Investimentos de curto prazo
Short-term Provisions,Disposições de Curto Prazo
Shortage Qty,Quantidade em falta
Show Aggregate Value from Subsidiary Companies,Mostrar valor agregado de empresas subsidiárias
Show Balances in Chart Of Accounts,Mostrar saldos no plano de contas
Show Barcode Field in Stock Transactions,Mostrar campo de código de barras em transações de estoque
Show Credit / Debit in Company Currency,Mostrar crédito/débito na moeda da empresa
Show Dimension Wise Stock,Mostrar estoque dimensional
Show Disabled Items,Mostrar itens desativados
Show Disabled Warehouses,Mostrar armazéns desativados
Show Failed Logs,Mostrar registros com falha
Show GL Balance,Mostrar saldo contábil
Show Group Accounts,Mostrar contas de grupo
Show In Website,Mostrar no site
Show Inclusive Tax in Print,Mostrar imposto inclusivo impresso
Show Item Name,Mostrar nome do item
Show Items,Mostrar itens
Show Latest Forum Posts,Mostrar últimas postagens do fórum
Show Ledger View,Mostrar visualização do razão
Show Net Values in Party Account,Mostrar valores líquidos na conta do partido
Show Opening and Closing Balance,Mostrar saldo de abertura e fechamento
Show Operations,Mostrar operações
Show Pay Button in Purchase Order Portal,Mostrar botão de pagamento no portal de pedidos de compra
Show Payment Schedule in Print,Mostrar cronograma de pagamento impresso
Show Preview,Mostrar visualização
Show Remarks,Mostrar comentários
Show Taxes as Table in Print,Mostrar impostos como tabela impressa
Show Traceback,Mostrar rastreamento
Show availability of exploded items,Mostrar disponibilidade de itens explodidos
Show in Bucket View,Mostrar na visualização de intervalo
Show in Website,Mostrar no site
Show negative values as positive (for expenses in P&L),Mostrar valores negativos como positivos (para despesas no P&L)
Show net values in opening and closing columns,Mostrar valores líquidos nas colunas de abertura e fechamento
Show only the Immediate Upcoming Term,Mostrar apenas o próximo período imediato
Show pending entries,Mostrar entradas pendentes
Show with upcoming revenue/expense,Mostrar com receitas/despesas futuras
Signatory Position,Posição do Signatário
Signed,Assinado
Signed By (Company),Assinado por (Empresa)
Signed On,Conectado
Signee,Signatário
Signee (Company),Signatário (Empresa)
Signee Details,Detalhes do signatário
Similar types of workstations where the same operations run in parallel.,Tipos semelhantes de estações de trabalho onde as mesmas operações são executadas em paralelo.
"Simple Python Expression, Example: doc.status == 'Open' and doc.issue_type == 'Bug'","Expressão Python simples, exemplo: doc.status == 'Open' e doc.issue_type == 'Bug'"
"Simple Python Expression, Example: territory != 'All Territories'","Expressão Python simples, exemplo: território! = 'Todos os territórios'"
"Simple Python formula applied on Reading fields.<br> Numeric eg. 1: <b>reading_1 &gt; 0.2 and reading_1 &lt; 0.5</b><br>|||Numeric eg. 2: <b>mean &gt; 3.5</b> (mean of populated fields)<br>|||Value based eg.:  <b>reading_value in (""A"", ""B"", ""C"")</b>","Fórmula Python simples aplicada em campos de leitura.<br> Numérico, por exemplo. 1: <b>leitura_1&gt; 0,2 e leitura_1 &lt; 0,5</b><br>|||Numérico, por exemplo. 2: <b>média&gt; 3,5</b> (média dos campos preenchidos)<br>|||Baseado em valor, por exemplo: <b>valor_leitura em (""A"", ""B"", ""C"")</b>"
Simultaneous,Simultâneo
"Since there is a process loss of {0} units for the finished good {1}, you should reduce the quantity by {0} units for the finished good {1} in the Items Table.","Como há uma perda de processo de {0} unidades do produto acabado {1}, você deve reduzir a quantidade em {0} unidades do produto acabado {1} na Tabela de Itens."
"Since you have enabled 'Track Semi Finished Goods', at least one operation must have 'Is Final Finished Good' checked. For that set the FG / Semi FG Item as {0} against an operation.","Como você ativou 'Rastrear produtos semiacabados', pelo menos uma operação deve ter a opção 'É produto final acabado' marcada. Para isso configure o Item FG/Semi FG como {0} contra uma operação."
"Since {0} are Serial No/Batch No items, you cannot enable 'Recreate Stock Ledgers' in Repost Item Valuation.","Como {0} são itens com número de série/sem lote, você não pode ativar 'Recriar registros de estoque' em Relançar avaliação de item."
"Since {0} has 'Update Stock' disabled, you cannot create repost item valuation against it","Como {0} tem a opção 'Atualizar estoque' desativada, você não pode criar uma nova avaliação de item em relação a ele"
Single,Solteiro
Single Tier Program,Programa de nível único
Size,Tamanho
Skills,Habilidades
Skip Delivery Note,Ignorar nota de entrega
Skip Material Transfer,Pular transferência de material
Skip Material Transfer to WIP,Pular transferência de material para WIP
Skip Material Transfer to WIP Warehouse,Pular transferência de material para armazém WIP
Skipped,Ignorado
Skipped {0} DocType(s):<br>{1},{0} Tipo(s) de documento(s) ignorados:<br>{1}
"Skipping {0} of {1}, {2}","Ignorando {0} de {1}, {2}"
Skype ID,ID do Skype
Software,Programas
Sold by,Vendido por
Solvency Ratios,Rácios de solvência
Some required Company details are missing. You don't have permission to update them. Please contact your System Manager.,Faltam alguns detalhes obrigatórios da empresa. Você não tem permissão para atualizá-los. Entre em contato com o gerente do sistema.
Something went wrong please try again,"Algo deu errado, tente novamente"
Source,Fonte
Source DocType,Tipo de documento de origem
Source Document,Documento de origem
Source Document Name,Nome do documento de origem
Source Document No,Documento Fonte Não
Source Document Type,Tipo de documento de origem
Source Exchange Rate,Taxa de câmbio de origem
Source Fieldname,Nome do campo de origem
Source Location,Localização de origem
Source Manufacture Entry,Entrada de fabricação de origem
Source Name,Nome da fonte
Source Stock Entry (Manufacture),Entrada de estoque de origem (fabricação)
"Source Stock Entry {0} belongs to Work Order {1}, not {2}. Please use a manufacture entry from the same Work Order.","A Entrada de Estoque de Origem {0} pertence à Ordem de Serviço {1}, não a {2}. Utilize uma entrada de fabricação da mesma Ordem de Serviço."
Source Stock Entry {0} has no finished goods quantity,A entrada de estoque de origem {0} não tem quantidade de produtos acabados
Source Type,Tipo de fonte
Source Warehouse Address,Endereço do armazém de origem
Source Warehouse Address Link,Link do endereço do armazém de origem
Source Warehouse is mandatory for the Item {0}.,O Source Warehouse é obrigatório para o Item {0}.
Source Warehouse {0} must be same as Customer Warehouse {1} in the Subcontracting Inward Order.,O Armazém de Origem {0} deve ser igual ao Armazém do Cliente {1} na Ordem de Entrada de Subcontratação.
Source and target warehouse must be different,O armazém de origem e de destino deve ser diferente
Sourced by Supplier,Fornecido pelo Fornecedor
South Africa VAT Account,Conta de IVA da África do Sul
South Africa VAT Settings,Configurações de IVA da África do Sul
Spacer,Espaçador
Specify Exchange Rate to convert one currency into another,Especifique a taxa de câmbio para converter uma moeda em outra
Specify conditions to calculate shipping amount,Especifique as condições para calcular o valor do frete
"Spending for Account {0} ({1}) between {2} and {3} has already exceeded the new allocated budget. Spent: {4}, Budget: {5}","Os gastos da conta {0} ({1}) entre {2} e {3} já excederam o novo orçamento alocado. Gasto: {4}, Orçamento: {5}"
Split Asset,Dividir ativo
Split Early Payment Discount Loss into Income and Tax Loss,Divida a perda de desconto por pagamento antecipado em receita e perda fiscal
Split From,Dividir de
Split Qty,Quantidade dividida
Split Quantity must be less than Asset Quantity,A quantidade dividida deve ser menor que a quantidade de ativos
Splitting {0} {1} into {2} rows as per Payment Terms,Dividindo {0} {1} em {2} linhas de acordo com as Condições de Pagamento
Sr,Sr.
Stage,Estágio
Stage Name,Nome artístico
Stale Days,Dias obsoletos
Stale Days should start from 1.,Os dias obsoletos devem começar em 1.
Standard Description,Descrição padrão
Standard Rated Expenses,Despesas Nominadas Padrão
Standard Selling Rate,Taxa de venda padrão
Standard Template,Modelo padrão
"Standard Terms and Conditions that can be added to Sales and Purchases. Examples: Validity of the offer, Payment Terms, Safety and Usage, etc.","Termos e Condições Padrão que podem ser adicionados a Vendas e Compras. Exemplos: Validade da oferta, Condições de Pagamento, Segurança e Utilização, etc."
Standard rated supplies in {0},Suprimentos com classificação padrão em {0}
"Standard tax template that can be applied to all Purchase Transactions. This template can contain a list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"", etc.","Modelo de imposto padrão que pode ser aplicado a todas as transações de compra. Este modelo pode conter uma lista de cabeçalhos de impostos e também outros cabeçalhos de despesas como ""Frete"", ""Seguros"", ""Manuseio"", etc."
"Standard tax template that can be applied to all Sales Transactions. This template can contain a list of tax heads and also other expense/income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.","Modelo de imposto padrão que pode ser aplicado a todas as transações de vendas. Este modelo pode conter uma lista de cabeçalhos de impostos e também outros cabeçalhos de despesas/receitas como ""Frete"", ""Seguros"", ""Manuseio"" etc."
Standing Name,Nome Permanente
Start,Começar
Start / Resume,Iniciar / Retomar
Start Date,Data de início
Start Date should be lower than End Date,A data de início deve ser inferior à data de término
Start Import,Iniciar importação
Start Job,Iniciar trabalho
Start Merge,Iniciar mesclagem
Start Reposting,Comece a repassar
Start Time,Hora de início
Start Time can't be greater than or equal to End Time for {0}.,A Hora de Início não pode ser maior ou igual à Hora de Término de {0}.
Start Timer,Iniciar temporizador
Start date of current invoice's period,Data de início do período da fatura atual
Start date should be less than end date for Item {0},A data de início deve ser inferior à data de término do item {0}
Started a background job to create {1} {0}. {2},Iniciou um trabalho em segundo plano para criar {1} {0}. {2}
Starting location from left edge,Localização inicial da borda esquerda
Starting position from top edge,Posição inicial a partir da borda superior
Status,Status
Status Details,Detalhes do status
Status Illustration,Ilustração de status
Status and Reference,Status e Referência
Status must be Cancelled or Completed,O status deve ser cancelado ou concluído
Status must be one of {0},O status deve ser um de {0}
Status set to rejected as there are one or more rejected readings.,Status definido como rejeitado porque há uma ou mais leituras rejeitadas.
Statutory info and other general information about your Supplier,Informações legais e outras informações gerais sobre o seu fornecedor
Stock Adjustment Account,Conta de ajuste de estoque
Stock Asset Account,Conta de Ativos de Estoque
Stock Capacity,Capacidade de estoque
Stock Closing,Fechamento de ações
Stock Closing Balance,Saldo de fechamento de estoque
Stock Closing Entry,Entrada de fechamento de estoque
Stock Closing Entry {0} already exists for the selected date range,A entrada de fechamento de estoque {0} já existe para o período selecionado
"Stock Closing Entry {0} has been queued for processing, system will take sometime to complete it.","A entrada de fechamento de estoque {0} foi colocada na fila para processamento, o sistema levará algum tempo para concluí-la."
Stock Closing Log,Registro de fechamento de estoque
Stock Details,Detalhes do estoque
Stock Entries already created for Work Order {0}: {1},Entradas de estoque já criadas para ordem de serviço {0}: {1}
Stock Entry (Outward GIT),Entrada de estoque (GIT externo)
Stock Entry Child,Filho de entrada de estoque
Stock Entry Item,Item de entrada em estoque
Stock Entry Type,Tipo de entrada de estoque
Stock Entry {0} has created,A entrada de estoque {0} foi criada
Stock Frozen Up To,Estoque congelado até
Stock Items,Itens de estoque
Stock Ledger Entries and GL Entries are reposted for the selected Purchase Receipts,As entradas do razão de estoque e as entradas contábeis são relançadas para os recibos de compra selecionados
Stock Ledger Invariant Check,Verificação invariante do razão de estoque
Stock Ledger Variance,Variação do razão de estoque
Stock Ledgers won’t be reposted.,Os livros contábeis de ações não serão relançados.
Stock Movement,Movimento de estoque
Stock Partially Reserved,Estoque Parcialmente Reservado
Stock Planning,Planejamento de estoque
Stock Qty vs Batch Qty,Quantidade de estoque vs quantidade de lote
Stock Received But Not Billed,"Estoque recebido, mas não faturado"
Stock Reconciliation Item,Item de reconciliação de estoque
Stock Reposting Settings,Configurações de transferência de estoque
Stock Reservation,Reserva de estoque
Stock Reservation Entries Cancelled,Entradas de reserva de estoque canceladas
Stock Reservation Entries Created,Lançamentos de reserva de estoque criados
Stock Reservation Entries created,Lançamentos de reserva de estoque criados
Stock Reservation Entry,Entrada de reserva de estoque
Stock Reservation Entry cannot be updated as it has been delivered.,A entrada de reserva de estoque não pode ser atualizada porque foi entregue.
"Stock Reservation Entry created against a Pick List cannot be updated. If you need to make changes, we recommend canceling the existing entry and creating a new one.","A entrada de reserva de estoque criada em uma lista de seleção não pode ser atualizada. Se precisar fazer alterações, recomendamos cancelar a entrada existente e criar uma nova."
Stock Reservation Warehouse Mismatch,Incompatibilidade de armazém de reserva de estoque
Stock Reservation can only be created against {0}.,A Reserva de Estoque só pode ser criada para {0}.
Stock Reserved,Estoque reservado
Stock Reserved Qty,Quantidade reservada de estoque
Stock Reserved Qty (in Stock UOM),Quantidade reservada de estoque (UOM em estoque)
Stock Transactions Settings,Configurações de transações de estoque
Stock UOM Quantity,Quantidade de unidades de medida em estoque
Stock Unreservation,Desreserva de estoque
Stock Uom,Estoque Uom
Stock Update Not Allowed,Atualização de estoque não permitida
Stock Validations,Validações de estoque
Stock and Manufacturing,Estoque e Fabricação
Stock cannot be reserved in group warehouse {0}.,O estoque não pode ser reservado no armazém do grupo {0}.
Stock cannot be reserved in the group warehouse {0}.,O estoque não pode ser reservado no armazém do grupo {0}.
Stock cannot be updated against the following Delivery Notes: {0},O estoque não pode ser atualizado em relação às seguintes Notas de Entrega: {0}
Stock cannot be updated because the invoice contains a drop shipping item. Please disable 'Update Stock' or remove the drop shipping item.,O estoque não pode ser atualizado porque a fatura contém um item de envio direto. Desative 'Atualizar estoque' ou remova o item de envio direto.
Stock cannot be updated for Purchase Invoice {0} because a Purchase Receipt {1} has already been created for this transaction. Please disable the 'Update Stock' checkbox in the Purchase Invoice and save the invoice.,O estoque não pode ser atualizado para a fatura de compra {0} porque um recibo de compra {1} já foi criado para esta transação. Desative a caixa de seleção 'Atualizar estoque' na fatura de compra e salve a fatura.
"Stock entries exist with the old account. Changing the account may lead to a mismatch between the warehouse closing balance and the account closing balance. The overall closing balance will still match, but not for the specific account.","Existem entradas de estoque com a conta antiga. A alteração da conta pode levar a uma incompatibilidade entre o saldo de encerramento do armazém e o saldo de encerramento da conta. O saldo final geral ainda será igual, mas não para a conta específica."
Stock has been unreserved for work order {0}.,O estoque foi cancelado para a ordem de serviço {0}.
Stock not available for Item {0} in Warehouse {1}.,Estoque não disponível para o Item {0} no Armazém {1}.
Stock quantity not enough for Item Code: {0} under warehouse {1}. Available quantity {2} {3}.,A quantidade em estoque não é suficiente para o Código do Item: {0} no armazém {1}. Quantidade disponível {2} {3}.
Stock transactions that are older than the mentioned days cannot be modified.,As transações de ações anteriores aos dias mencionados não podem ser modificadas.
Stock will be reserved on submission of <b>Purchase Receipt</b> created against Material Request for Sales Order.,O estoque será reservado mediante envio do <b>Recibo de Compra</b> gerado na Solicitação de Material para ordem de vendas.
Stock/Accounts can not be frozen as processing of backdated entries is going on. Please try again later.,"Os estoques/contas não podem ser congelados, pois o processamento de lançamentos retroativos está em andamento. Por favor, tente novamente mais tarde."
Stop,Parar
Stopped,Parou
Straight Line,Linha reta
Sub Assemblies & Raw Materials,Subconjuntos e matérias-primas
Sub Assembly Item,Item de subconjunto
Sub Assembly Item Code,Código do item do subconjunto
Sub Assembly Item Reference,Referência de item de subconjunto
Sub Assembly Item is mandatory,O item do subconjunto é obrigatório
Sub Assembly Items,Itens de submontagem
Sub Assembly Warehouse,Armazém de Submontagem
Sub Operation,Suboperação
Sub Operations,Suboperações
Sub Procedure,Subprocedimento
Sub Total,Subtotal
Sub assembly item references are missing. Please fetch the sub assemblies and raw materials again.,"Faltam referências de itens de submontagem. Por favor, busque os subconjuntos e as matérias-primas novamente."
Sub-assembly BOM Count,Contagem de BOM de submontagem
Subcontract BOM,BOM de subcontratação
Subcontract Order,Ordem de subcontratação
Subcontract Order Summary,Resumo do pedido de subcontratação
Subcontract Return,Retorno de subcontrato
Subcontracted Item,Item subcontratado
Subcontracted Item To Be Received,Item subcontratado a ser recebido
Subcontracted Purchase Order,Ordem de compra subcontratada
Subcontracted Quantity,Quantidade Subcontratada
Subcontracting,Subcontratação
Subcontracting BOM,BOM de subcontratação
Subcontracting Conversion Factor,Fator de conversão de subcontratação
Subcontracting Delivery,Entrega de subcontratação
Subcontracting Inward,Subcontratação interna
Subcontracting Inward Order,Ordem de entrada de subcontratação
Subcontracting Inward Order Item,Subcontratação de item de pedido interno
Subcontracting Inward Order Received Item,Item recebido de ordem interna de subcontratação
Subcontracting Inward Order Secondary Item,Subcontratação de item secundário de pedido interno
Subcontracting Inward Order Service Item,Item de serviço de pedido interno de subcontratação
Subcontracting Inward Settings,Configurações internas de subcontratação
Subcontracting Order,Ordem de subcontratação
Subcontracting Order (Draft) will be auto-created on submission of Purchase Order.,A Ordem de Subcontratação (Rascunho) será criada automaticamente no envio da Ordem de Compra.
Subcontracting Order Item,Item de pedido de subcontratação
Subcontracting Order Service Item,Item de serviço de pedido de subcontratação
Subcontracting Order Supplied Item,Item fornecido por pedido de subcontratação
Subcontracting Order {0} created.,Ordem de subcontratação {0} criada.
Subcontracting Purchase Order,Ordem de compra de subcontratação
Subcontracting Receipt,Recibo de Subcontratação
Subcontracting Receipt Item,Item de recebimento de subcontratação
Subcontracting Receipt Supplied Item,Item fornecido de recibo de subcontratação
Subcontracting Return,Retorno de subcontratação
Subcontracting Sales Order,Ordem de vendas de subcontratação
Subcontracting Settings,Configurações de subcontratação
Subdivision,Subdivisão
Subject,Assunto
Submit,Enviar
Submit Action Failed,Falha ao enviar ação
Submit ERR Journals?,Enviar diários ERR?
Submit Generated Invoices,Enviar faturas geradas
Submit Journal Entries,Enviar lançamentos contábeis manuais
Submit your Quotation,Envie sua cotação
Submitted,Enviado
Subscription End Date,Data de término da assinatura
Subscription End Date must be after {0} as per the subscription plan,A data de término da assinatura deve ser posterior a {0} de acordo com o plano de assinatura
Subscription Period,Período de assinatura
Subscription Plans,Planos de assinatura
Subscription Price Based On,Preço da assinatura com base em
Subscription Section,Seção de assinatura
Subscription Start Date,Data de início da assinatura
Subscription for Future dates cannot be processed.,A assinatura para datas futuras não pode ser processada.
Succeeded,Sucesso
Succeeded Entries,Inscrições bem-sucedidas
Success,Sucesso
Success Redirect URL,URL de redirecionamento de sucesso
Success Settings,Configurações de sucesso
Successful,Bem-sucedido
"Successfully changed Stock UOM, please redefine conversion factors for new UOM.",UOM de estoque alterado com sucesso. Redefina os fatores de conversão para a nova UOM.
Successfully imported {0},Importado {0} com sucesso
"Successfully imported {0} record out of {1}. Click on Export Errored Rows, fix the errors and import again.","Importado com sucesso {0} registro de {1}. Clique em Exportar linhas com erros, corrija os erros e importe novamente."
Successfully imported {0} record.,Registro {0} importado com sucesso.
"Successfully imported {0} records out of {1}. Click on Export Errored Rows, fix the errors and import again.","Importou com sucesso {0} registros de {1}. Clique em Exportar linhas com erros, corrija os erros e importe novamente."
Successfully imported {0} records.,{0} registros importados com sucesso.
Successfully linked to Customer,Vinculado com sucesso ao cliente
Successfully linked to Supplier,Vinculado com sucesso ao fornecedor
Successfully merged {0} out of {1}.,Mesclado com sucesso {0} de {1}.
Successfully updated {0},Atualizado com sucesso {0}
"Successfully updated {0} record out of {1}. Click on Export Errored Rows, fix the errors and import again.","Registro {0} atualizado com sucesso de {1}. Clique em Exportar linhas com erros, corrija os erros e importe novamente."
Successfully updated {0} record.,Registro {0} atualizado com sucesso.
"Successfully updated {0} records out of {1}. Click on Export Errored Rows, fix the errors and import again.","{0} registros atualizados com sucesso de {1}. Clique em Exportar linhas com erros, corrija os erros e importe novamente."
Successfully updated {0} records.,{0} registros atualizados com sucesso.
Suggestions,Sugestões
Summary,Resumo
Supplied Item,Item fornecido
Supplied Items,Itens Fornecidos
Supplied Qty,Quantidade fornecida
Supplier > Supplier Type,Fornecedor > Tipo de fornecedor
Supplier Address,Endereço do fornecedor
Supplier Address Details,Detalhes do endereço do fornecedor
Supplier Contact,Contato do fornecedor
Supplier Delivery Note,Nota de entrega do fornecedor
Supplier Details,Detalhes do fornecedor
Supplier Group Item,Item do grupo de fornecedores
Supplier Group Name,Nome do grupo de fornecedores
Supplier Info,Informações do fornecedor
Supplier Invoice,Fatura do Fornecedor
Supplier Invoice No,Nº da fatura do fornecedor
Supplier Invoice No exists in Purchase Invoice {0},A fatura do fornecedor não existe na fatura de compra {0}
Supplier Item,Item do fornecedor
Supplier Items,Itens do fornecedor
Supplier Lead Time (days),Prazo de entrega do fornecedor (dias)
Supplier Ledger Summary,Resumo do razão do fornecedor
Supplier Naming By,Nomeação do fornecedor por
Supplier Number,Número do Fornecedor
Supplier Number At Customer,Número do fornecedor no cliente
Supplier Numbers,Números de fornecedores
Supplier Part No,Número da peça do fornecedor
Supplier Part Number,Número de peça do fornecedor
Supplier Portal Users,Usuários do Portal do Fornecedor
Supplier Primary Address,Endereço principal do fornecedor
Supplier Primary Contact,Contato principal do fornecedor
Supplier Quotation Item,Item de cotação do fornecedor
Supplier Required,Fornecedor necessário
Supplier Score,Pontuação do fornecedor
Supplier Scorecard,Scorecard do fornecedor
Supplier Scorecard Criteria,Critérios do Scorecard do Fornecedor
Supplier Scorecard Period,Período do Scorecard do Fornecedor
Supplier Scorecard Scoring Criteria,Critérios de pontuação do scorecard do fornecedor
Supplier Scorecard Scoring Standing,Posição de pontuação do scorecard do fornecedor
Supplier Scorecard Scoring Variable,Variável de pontuação do scorecard do fornecedor
Supplier Scorecard Setup,Configuração do scorecard do fornecedor
Supplier Scorecard Standing,Posição do Scorecard do Fornecedor
Supplier Scorecard Variable,Variável do scorecard do fornecedor
Supplier Type,Tipo de fornecedor
Supplier Warehouse,Armazém do Fornecedor
Supplier delivers to Customer,Fornecedor entrega ao cliente
Supplier is required for all selected Items,O fornecedor é obrigatório para todos os itens selecionados
Supplier numbers assigned by the customer,Números de fornecedores atribuídos pelo cliente
Supplier of Goods or Services.,Fornecedor de bens ou serviços.
Suppliers,Fornecedores
Supplies subject to the reverse charge provision,Fornecimentos sujeitos à disposição de autoliquidação
Supply,Fornecer
Support Portal,Portal de suporte
Suspected Discount Amount,Valor de desconto suspeito
Suspended,Suspenso
Sync Now,Sincronizar agora
Sync Started,Sincronização iniciada
Synchronize all accounts every hour,Sincronize todas as contas a cada hora
System Health,Saúde do sistema
System In Use,Sistema em uso
System Manager,Gerente do Sistema
"System User (login) ID. If set, it will become default for all HR forms.","ID do usuário do sistema (login). Se definido, ele se tornará padrão para todos os formulários de RH."
System will automatically create the serial numbers / batch for the Finished Good on submission of work order,O sistema criará automaticamente os números de série/lote para o produto acabado no envio da ordem de serviço
"System will do an implicit conversion using the pegged currency. <br>|||Ex: Instead of AED -&gt; INR, system will do AED -&gt; USD -&gt; INR using the pegged exchange rate of AED against USD.","O sistema fará uma conversão implícita usando a moeda indexada. <br>|||Ex: Em vez de DEA -&gt; INR, o sistema fará AED -&gt; USD -&gt; INR usando a taxa de câmbio indexada de AED em relação ao USD."
System will fetch all the entries if limit value is zero.,O sistema irá buscar todas as entradas se o valor limite for zero.
System will not check over billing since amount for Item {0} in {1} is zero,"O sistema não verificará o faturamento, pois o valor do item {0} em {1} é zero"
System will notify to increase or decrease quantity or amount ,O sistema notificará para aumentar ou diminuir a quantidade ou valor
TDS Computation Summary,Resumo de computação TDS
TDS Deducted,TDS deduzido
TDS Payable,TDS a pagar
TS-.YYYY.-,TS-.AAAA.-
Table for Item that will be shown in Web Site,Tabela de Item que será mostrado no Web Site
Tag,Marcação
Target,Alvo
Target  Amount,Valor alvo
Target Asset,Ativo alvo
Target Asset {0} cannot be cancelled,O ativo alvo {0} não pode ser cancelado
Target Asset {0} cannot be submitted,O recurso alvo {0} não pode ser enviado
Target Asset {0} cannot be {1},O recurso de destino {0} não pode ser {1}
Target Asset {0} does not belong to company {1},O ativo alvo {0} não pertence à empresa {1}
Target Asset {0} needs to be composite asset,O ativo de destino {0} precisa ser um ativo composto
Target Distribution,Distribuição alvo
Target Exchange Rate,Taxa de câmbio alvo
Target Fieldname (Stock Ledger Entry),Nome do campo de destino (entrada do razão de estoque)
Target Fixed Asset Account,Conta de ativo fixo alvo
Target Incoming Rate,Taxa de entrada desejada
Target Item Code,Código do item de destino
Target Item {0} must be a Fixed Asset item,O item de destino {0} deve ser um item de ativo fixo
Target Location,Local de destino
Target Location is required for transferring Asset {0},O local de destino é necessário para transferir o recurso {0}
Target Location is required while receiving Asset {0},O local de destino é obrigatório ao receber o recurso {0}
Target Qty,Quantidade desejada
Target Warehouse Address,Endereço do armazém de destino
Target Warehouse Address Link,Link do endereço do armazém de destino
Target Warehouse Reservation Error,Erro de reserva do armazém de destino
Target Warehouse for Finished Good must be same as Finished Good Warehouse {1} in Work Order {2} linked to the Subcontracting Inward Order.,O Armazém de Destino para Produto Acabado deve ser igual ao Armazém de Produto Acabado {1} na Ordem de Serviço {2} vinculada à Ordem de Entrada de Subcontratação.
Target Warehouse is required before Submit,O Target Warehouse é obrigatório antes do envio
Target Warehouse is set for some items but the customer is not an internal customer.,"O Target Warehouse está definido para alguns itens, mas o cliente não é um cliente interno."
Target Warehouse {0} must be same as Delivery Warehouse {1} in the Subcontracting Inward Order Item.,O Armazém de Destino {0} deve ser igual ao Armazém de Entrega {1} no Item de Pedido de Recebimento de Subcontratação.
Target warehouse is mandatory for row {0},O armazém de destino é obrigatório para a linha {0}
Targets,Alvos
Tariff Number,Número Tarifário
Task,Tarefa
Task Assignee Email,E-mail do responsável pela tarefa
Task Completion,Conclusão da tarefa
Task Description,Descrição da tarefa
Task Name,Nome da tarefa
Task Progress,Progresso da tarefa
Task Type,Tipo de tarefa
Task Weight,Peso da tarefa
Task {0} depends on Task {1}. Please add Task {1} to the Tasks list.,A tarefa {0} depende da tarefa {1}. Adicione a tarefa {1} à lista de tarefas.
Tax Account,Conta Fiscal
Tax Amount,Valor do imposto
Tax Amount After Discount Amount,Valor do imposto após valor do desconto
Tax Amount After Discount Amount (Company Currency),Valor do imposto após valor do desconto (moeda da empresa)
Tax Amount will be rounded on a row(items) level,O valor do imposto será arredondado no nível da linha (itens)
Tax Breakup,Rompimento de impostos
"Tax Category has been changed to ""Total"" because all the Items are non-stock items","A categoria de imposto foi alterada para ""Total"" porque todos os itens são itens sem estoque"
Tax Expense,Despesa Fiscal
Tax Id,NIF
Tax Id: ,NIF:
Tax Id: {0},NIF: {0}
Tax Rate %,Taxa de imposto %
Tax Rates,Taxas de imposto
Tax Refunds provided to Tourists under the Tax Refunds for Tourists Scheme,Reembolsos de impostos fornecidos a turistas no âmbito do regime de reembolso de impostos para turistas
Tax Row,Linha fiscal
Tax Settings,Configurações fiscais
Tax Type,Tipo de imposto
Tax Withholding,Retenção de Imposto
Tax Withholding Details,Detalhes de retenção de impostos
Tax Withholding Entries,Lançamentos de retenção de impostos
Tax Withholding Entry,Entrada de retenção de imposto
Tax Withholding Group,Grupo de retenção de impostos
Tax Withholding Rates,Taxas de retenção de impostos
